columna,modulo_origen,variable_original,descripcion,dtype,no_nulos_%,n_unicos
c1_p5c_hvi,coe1,p5c_hvi,Pregunta 5c Horas viernes,object,84.5,27
c1_p5c_mvi,coe1,p5c_mvi,Pregunta 5c Minutos viernes,object,84.5,28
c1_p5c_hsa,coe1,p5c_hsa,Pregunta 5c Horas sábado,object,84.5,28
c1_p5c_msa,coe1,p5c_msa,Pregunta 5c Minutos sábado,object,84.5,22
c1_p5c_hdo,coe1,p5c_hdo,Pregunta 5c Horas domingo,object,84.5,28
c1_p5c_mdo,coe1,p5c_mdo,Pregunta 5c Minutos domingo,object,84.5,18
c1_p5c_thrs,coe1,p5c_thrs,Pregunta 5c Total de horas,object,84.5,123
c1_p5c_tdia,coe1,p5c_tdia,Pregunta 5c Total de días (campo adicional contenido en la base de datos),object,84.5,9
c1_p5d,coe1,p5d,Pregunta 5d ¿Ese es el número de horas que habitualmente trabaja ...?,object,84.5,4
c1_p5e1,coe1,p5e1,Pregunta 5e Horas y minutos o no tiene horario regular de trabajo,object,84.5,3
c1_p5e_hlu,coe1,p5e_hlu,Pregunta 5e Horas lunes,object,84.5,23
c1_p5e_mlu,coe1,p5e_mlu,Pregunta 5e Minutos lunes,object,84.5,16
c1_p5e_hma,coe1,p5e_hma,Pregunta 5e Horas martes,object,84.5,24
c1_p5e_mma,coe1,p5e_mma,Pregunta 5e Minutos martes,object,84.5,18
c1_p5e_hmi,coe1,p5e_hmi,Pregunta 5e Horas miércoles,object,84.5,23
c1_p5e_mmi,coe1,p5e_mmi,Pregunta 5e Minutos miércoles,object,84.5,17
c1_p5e_hju,coe1,p5e_hju,Pregunta 5e Horas jueves,object,84.5,24
c1_p5e_mju,coe1,p5e_mju,Pregunta 5e Minutos jueves,object,84.5,17
c1_p5e_hvi,coe1,p5e_hvi,Pregunta 5e Horas viernes,object,84.5,24
c1_p5e_mvi,coe1,p5e_mvi,Pregunta 5e Minutos viernes,object,84.5,16
c1_p5e_hsa,coe1,p5e_hsa,Pregunta 5e Horas sábado,object,84.5,22
c1_p5e_msa,coe1,p5e_msa,Pregunta 5e Minutos sábado,object,84.5,6
c1_p5e_hdo,coe1,p5e_hdo,Pregunta 5e Horas domingo,object,84.5,23
c1_p5e_mdo,coe1,p5e_mdo,Pregunta 5e Minutos domingo,object,84.5,10
c1_p5e_thrs,coe1,p5e_thrs,Pregunta 5e Total de horas,object,84.5,102
c1_p5e_tdia,coe1,p5e_tdia,Pregunta 5e Total de días (campo adicional contenido en la base de datos),object,84.5,9
c1_p5f,coe1,p5f,Pregunta 5f ¿Cuál es el motivo principal por el que la semana pasada ... no trabajó las horas habituales?,object,84.5,14
c1_p5g1,coe1,p5g1,Pregunta 5g Opción 1: enero,object,84.5,2
c1_p5g2,coe1,p5g2,Pregunta 5g Opción 2: febrero,object,84.5,2
c1_p5g3,coe1,p5g3,Pregunta 5g Opción 3: marzo,object,84.5,2
c1_p5g4,coe1,p5g4,Pregunta 5g Opción 4: abril,object,84.5,2
c1_p5g5,coe1,p5g5,Pregunta 5g Opción 5: mayo,object,84.5,2
c1_p5g6,coe1,p5g6,Pregunta 5g Opción 6: junio,object,84.5,2
c1_p5g7,coe1,p5g7,Pregunta 5g Opción 7: julio,object,84.5,2
c1_p5g8,coe1,p5g8,Pregunta 5g Opción 8: agosto,object,84.5,2
c1_p5g9,coe1,p5g9,Pregunta 5g Opción 9: septiembre,object,84.5,2
c1_p5g10,coe1,p5g10,Pregunta 5g Opción 10: octubre,object,84.5,2
c1_p5g11,coe1,p5g11,Pregunta 5g Opción 11: noviembre,object,84.5,2
c1_p5g12,coe1,p5g12,Pregunta 5g Opción 12: diciembre,object,84.5,2
c1_p5g13,coe1,p5g13,Pregunta 5g Opción 13: Varían los meses en que trabaja,object,84.5,2
